,Classifier,Parameter,Score,Selected
140,RandomForest,42,0.49089165867689355,False
141,RandomForest,44,0.4798657718120805,False
142,RandomForest,46,0.48322147651006714,False
143,RandomForest,48,0.48801534036433364,False
144,RandomForest,50,0.4798657718120805,False
145,RandomForest,52,0.47555129434324067,False
146,RandomForest,54,0.47027804410354745,False
147,RandomForest,56,0.4793863854266539,False
148,RandomForest,58,0.4741131351869607,False
149,RandomForest,60,0.4741131351869607,False
150,RandomForest,62,0.473633748801534,False
151,RandomForest,64,0.48034515819750717,False
152,RandomForest,66,0.4741131351869607,False
153,RandomForest,68,0.4726749760306807,False
154,RandomForest,70,0.4726749760306807,False
155,RandomForest,72,0.48082454458293383,False
156,RandomForest,74,0.49185043144774687,False
157,RandomForest,76,0.48801534036433364,False
158,RandomForest,78,0.48705656759348037,False
159,RandomForest,80,0.48705656759348037,False
160,RandomForest,82,0.4865771812080537,False
161,RandomForest,84,0.4841802492809204,False
162,RandomForest,86,0.48609779482262705,False
163,RandomForest,88,0.4841802492809204,False
164,RandomForest,90,0.4851390220517737,False
165,RandomForest,92,0.48465963566634707,False
166,RandomForest,94,0.48609779482262705,False
167,RandomForest,96,0.48465963566634707,False
168,RandomForest,98,0.48178331735378715,False
169,RandomForest,100,0.4822627037392138,False
170,SVM,"(0.1, 0.1)",0.4721955896452541,False
171,SVM,"(0.1, 0.5)",0.4721955896452541,False
172,SVM,"(0.1, 1)",0.4721955896452541,False
173,SVM,"(0.1, 10)",0.4721955896452541,False
174,SVM,"(0.1, 100)",0.4721955896452541,False
175,SVM,"(0.1, 1000)",0.4721955896452541,False
176,SVM,"(0.5, 0.1)",0.47315436241610737,False
177,SVM,"(0.5, 0.5)",0.47027804410354745,False
178,SVM,"(0.5, 1)",0.46836049856184087,False
179,SVM,"(0.5, 10)",0.4721955896452541,False
180,SVM,"(0.5, 100)",0.4721955896452541,False
181,SVM,"(0.5, 1000)",0.4721955896452541,False
182,SVM,"(1, 0.1)",0.4726749760306807,False
183,SVM,"(1, 0.5)",0.46883988494726747,False
184,SVM,"(1, 1)",0.4707574304889741,False
185,SVM,"(1, 10)",0.4721955896452541,False
186,SVM,"(1, 100)",0.4721955896452541,False
187,SVM,"(1, 1000)",0.4721955896452541,False
188,SVM,"(10, 0.1)",0.4793863854266539,False
189,SVM,"(10, 0.5)",0.473633748801534,False
190,SVM,"(10, 1)",0.4678811121764142,False
191,SVM,"(10, 10)",0.47171620325982744,False
192,SVM,"(10, 100)",0.4721955896452541,False
193,SVM,"(10, 1000)",0.4721955896452541,False
194,SVM,"(100, 0.1)",0.5191754554170661,True
195,SVM,"(100, 0.5)",0.4741131351869607,False
196,SVM,"(100, 1)",0.46836049856184087,False
197,SVM,"(100, 10)",0.4721955896452541,False
198,SVM,"(100, 100)",0.4721955896452541,False
199,SVM,"(100, 1000)",0.4721955896452541,False
200,SVM,"(1000, 0.1)",0.5225311601150527,True
201,SVM,"(1000, 0.5)",0.5230105465004794,True
202,SVM,"(1000, 1)",0.4678811121764142,False
203,SVM,"(1000, 10)",0.4721955896452541,False
204,SVM,"(1000, 100)",0.4721955896452541,False
205,SVM,"(1000, 1000)",0.4721955896452541,False
